word,answer
berlarut-berlarut,berlarut-berlarut
bermacam-bermacam,bermacam-bermacam
bertahun-bertahun,bertahun-bertahun
bertanya-bertanya,bertanya
berturut-berturut,berturut
berulang-berulang,berulang
bgtbener-bgtbener,banget bener-bener
browsing-browsing,browsing
brrhenti-brrhenti,berhenti-henti
brunei-darusallam,brunei darussalam
canggung-canggung,canggung
comeback-comeback,comeback
curhat-curhatanku,curhatanku
curhatan-curhatan,curhatan
depressed-anxious,depressed anxious
diangkat-diangkat,diangkat-angkat
dianjing-dianjing,dianjing-anjing
dibentak-dibentak,dibentak-bentak
diberita-diberita,diberita-berita
diganggu-diganggu,diganggu-ganggu
digotong-digotong,digotong
dihitung-dihitung,dihitung-hitung
ditempel-ditempel,ditempel
ditengah-ditengah,tengah
friday26april2o24,friday 26 april 2024
gakeluar-gakeluar,tidak keluar
gangguankecemasan,gangguan kecemasan
karyawan-karyawan,karyawan
kebangun-kebangun,kebangun-bangun
kebayang-kebayang,terbayang-bayang
kebohong-kebohong,kebohongan
kecemasanberlebih,kecemasan berlebih
kegiatan-kegiatan,kegiatan
kejadian-kejadian,kejadian
keliling-keliling,keliling
keluarga-keluarga,keluarga
kenal-deket-putus,kenal deket putus
ketumpuk-ketumpuk,ketumpuk
klrgorng-klrgorng,keluarga orang-orang
melayang-melayang,melayang-layang
menggebu-menggebu,menggebu
menjerit-menjerit,menjerit
ngejelek-ngejelek,ngejelek
ngelakuinngerjain,melakukan pekerjaan
ngelipet-ngelipet,melipat
penguasa-penguasa,penguasa
penyakit-penyakit,penyakit
perasaan-perasaan,perasaan
perlahan-perlahan,perlahan
pikiran-pikiranku,pikiran
prestasi-prestasi,prestasi
psikolog-psikolog,psikolog
psikologpsikiater,psikolog psikiater
psikopat-psikopat,psikopat
sekarang-sekarang,sekarang
semangat-semangat,semangat
setengah-setengah,setengah
struggle-struggle,struggle
symptoms-symptoms,symptoms
terbalik-terbalik,terbalik
tercandu-tercandu,tercandu
tetangga-tetangga,tetangga
trbayang-trbayang,terbayang
work-life-balance,work-life-balance
alhamdulillahnya,alhamdulillah
antikonvulsannya,antikonvulsannya
anxietydisorders,<noise>
anxietyindonesia,<noise>
berangkat-pulang,berangkat pulang
bercabang-cabang,bercabang
berdebar2pindah2,berdebar-debar pindah-pindah
berlebih-lebihan,berlebihan
berminggu-minggu,berminggu-minggu
bersenang-senang,bersenang-senang
bertanggungjawab,bertanggung jawab
bulet-buletannya,bulet-buletannya
depressed-jeremy,depressed jeremy
di-friendzone-in,dianggap hanya teman
dibayang-bayangi,dibayang-bayangi
ikatancintaep2s3,<noise>
iyananakcakeshop,iyan anak cake shop
kecemasananxiety,kecemasan anxiety
kemuhamadiyyahan,kemuhamadiyyahan
melebih-lebihkan,melebih-lebihkan
mempertanyakan-u,mempertanyakan
mempertimbangkan,mempertimbangkan
menjelek-jelekan,menjelek-jelekan
nangis-nangisnya,nangis
nongkrong-kuliah,nongkrong kuliah
opporenoi2series,<noise>
puncak-puncaknya,puncak-puncaknya
seberat-beratnya,seberat-beratnya
sekeras-kerasnya,sekeras-kerasnya
sendiriananxious,sendirian anxious
tenang-tenangnya,tenang
terngiang-ngiang,terngiang
terombang-ambing,terombang-ambing
tersengal-sengal,tersengal
under-stimulated,under-stimulated
antidepressants,antidepressants
anxietydisorder,anxiety disorder
april-september,april sampai september
assalamualaikum,assalamualaikum
bahagia-bahagia,bahagia
behenti-behenti,behenti
beratus-beratus,beratus-ratus
berbeda-berbeda,berbeda-beda
berenti-berenti,berhenti-henti
berhari-berhari,berhari-hari
berhati-berhati,berhati-hati
berkaca-berkaca,berkaca-kaca
berkali-berkali,berkali-kali
berpura-berpura,berpura-pura
bertaun-bertaun,bertahun-tahun
bertubi-bertubi,bertubi-tubi
berubah-berubah,berubah-ubah
bincang-bincang,bincang-bincang
bisikan-bisikan,bisikan
bongkar-bongkar,bongkar
capres-cawapres,capres cawapres
dempet-dempetan,dempet
digedor-digedor,digedor-gedor
diinget-diinget,diinget
dikejar-dikejar,dikejar-kejar
dikirim-dikirim,dikirim
diminum-diminum,diminum
dimodif-dimodif,dimodif
dipaksa-dipaksa,dipaksa
dipikir-dipikir,dipikir
disalah-salahin,disalahkan
disangka-sangka,disangka
disuruh-disuruh,disuruh
ditanya-ditanya,ditanya
ditusuk-ditusuk,ditusuk
diulang-diulang,diulang
double-checking,double checking
dtnggal-dtnggal,ditinggal
fikiran-fikiran,pikiran
gakelar-gakelar,tidak selesai
gandeng-gandeng,gandeng
gedubrak-dubrak,gedubrak
gelisah-gelisah,gelisah
gerakan-gerakan,gerakan
geteran-geteran,geteran
gonjang-ganjing,gonjang-ganjing
healing-healing,healing
hfdhfjgjhdjdgdj,<noise>
inattentive-nya,inattentive
kalimat-kalimat,kalimat
kambuh-kambuhan,kambuh
kebalik-kebalik,kebalik
keluhan-keluhan,keluhan
kemaren-kemaren,kemaren
kemarin-kemarin,kemarin
kenalan-kenalan,kenalan
kenceng-kenceng,kenceng
kerjaan-kerjaan,kerjaan
kondisi-kondisi,kondisi
kupikir-kupikir,pikir
kurang-kurangin,kurang
lebaran-lebaran,lebaran
lempar-lemparan,lempar-lemparan
makanan-makanan,makanan
manager-manager,manager
mancing-mancing,mancing
manggil-manggil,manggil
manusia-manusia,manusia
masalah-masalah,masalah
masukan-masukan,masukan
meledak-meledak,meledak
membayangkannya,membayangkannya
memprioritaskan,memprioritaskan
mengada-mengada,mengada
mengebu-mengebu,mengebu
mengekspresikan,ekspresikan
mengkhawatirkan,mengkhawatirkan
menimang-nimang,menimang
meninggalkannya,meninggalkannya
menjadi-menjadi,menjadi
mentang-mentang,mentang
mention-mention,mention
meraung-meraung,meraung
minggir-minggir,minggir
moments-moments,moments
musolla-musolla,musholla
namabah-namabah,tambah-tambah
negatif-negatif,negatif
ngancam-ngancam,mengancam
ngantur-ngantur,mengatur
ngapain-ngapain,melakukan apapun
ngebela-ngebela,ngebela
ngelampiasinnya,melampiaskannya
ngingat-ngingat,mengingat
nginget-nginget,mengingat
nginjek-nginjek,menginjak
ngobrol-ngobrol,mengobrol
ngomong-ngomong,ngomong-ngomong
ngulang-ngulang,mengulang-ngulang
non-judgemental,non-judgemental
nyaring-nyaring,nyaring
omongan-omongan,omongan
over-stimulated,overstimulated
overthinking-in,overthinking
pacepet-pacepet,pacepet
panjang-panjang,panjang
penting-penting,penting
permasalahannya,permasalahan
pikiran-pikiran,pikiran
procrastinating,procrastinating
publish-publish,publish
rahasia-rahasia,rahasia
romansa-romansa,romansa
sahabat-sahabat,sahabat
saudara-saudara,saudara
schizoaffective,schizoaffective
sebadan-sebadan,sebadan-badan
sedikit-sedikit,sedikit
sehancur-hancur,sehancur
sekilas-sekilas,sekilas
sekolah-sekolah,sekolah
selesai-selesai,selesai
self-comparison,self-comparison
self-diagnosing,self-diagnosing
semi-brokenhome,semi-broken home
sendawa-sendawa,sendawa
seneng-senengin,senang
sewaktu-sewaktu,sewaktu
sharing-sharing,sharing
situasi-situasi,situasi
stressdepressed,stress depresi
sungguh-sungguh,sungguh-sungguh
symptom-symptom,symptom
tekanan-tekanan,tekanan
tercari-tercari,tercari
tergesa-tergesa,tergesa
trbyang-trbyang,terbayang-bayang
untung-untungan,untung
aktif-aktifnya,aktif
allhamdulillah,alhamdulillah 
asalamualaikum,assalamualaikum
asslamualaikum,assalamualaikum
astaghfirullah,astaghfirullah
astaghfirulloh,astaghfirullah
berbelas-belas,berjam-jam
berbelit-belit,berbelit-belit
berbulan-bulan,berbulan-bulan
berdebar-debar,berdebar-debar
berhenti-henti,anxiety
berkepanjangan,berkepanjangan
berkonsentrasi,konsentrasi
berlarut-larut,berlarut-larut
bermacam-macam,bermacam-macam
bersosialisasi,bersosialisasi
bertahun-tahun,bertahun-tahun
bertanya-tanya,bertanya-tanya
berturut-turut,berturut-turut
capek-capeknya,capek
depresianxiety,depresi anxiety
deskripsiinnya,mendeskripsikannya
diidam-idamkan,dicita-citakan
disebarluaskan,disebarluaskan
distracted-nya,distracted
frenchopen2o21,<noise>
gerak-geriknya,gerak-geriknya
half-depressed,half-depressed
jaman-jamannya,jaman
judul-judulnya,judul
kawan-kawannya,kawan
ke-insecure-an,insecure
kelanjutannyah,kelanjutan
kelar-bimb-rev,kelar bimbingan revisi
kesana-sananya,kesana
ketergantungan,ketergantungan
ketidakpastian,ketidakpastian
makassar-ambon,makassar ambon
malaysia-timur,malaysia timur
memperbaikinya,memperbaiki
mempertahankan,mempertahankan
mempertanyakan,mempertanyakan
mempertaruhkan,mempertaruhkan
menenggelamkan,menenggelamkan
meng-amiin-kan,mengaminkan
mengantisipasi,mengantisipasi
mengintimidasi,mengintimidasi
menyembunyikan,menyembunyikan
neurodivergent,neurodivergent
overstimulated,overstimulated
overtihingking,overthinking
paragraf-malah,paragraf malah
penderitaannya,penderitaannya
penghasilannya,penghasilannya
perlahan-lahan,perlahan-lahan
perselingkuhan,perselingkuhan
qoakakakakmama,<noise>
rekan-rekannya,rekan-rekannya
responsibility,responsibility
se-menenangkan,se-menenangkan
sedih-sedihnya,sedih-sedihnya
sejadi-jadinya,sejadi-jadinya
sekali-kalinya,sekali-kalinya
sekolah-kuliah,sekolah kuliah
selega-leganya,selega-leganya
self-diagnosed,self-diagnosed
self-diagnosis,self-diagnosis
selingkuhannya,selingkuhannya
stereotype-nya,stereotypenya
teman-temannya,teman-temannya
temen-temennya,teman-temannya
tidakberchusan,tidak berchusan
treatments-nya,treatmentnya
ujung-ujungnya,ujung-ujungnya
warahmatullahi,warahmatullahi
-cukupakusaja,cukup aku saja
-tekanan,tekanan
akherat-akhir,akherat akhir
alhamdulillah,alhamdulillah
allhamdulilah,alhamdulillah 
anti-literate,anti-literate
antidepressan,antidepressan
asalamualikum,assalamualaikum
astagfirullah,astagfirullah
attackanxiety,attack anxiety
author-author,author
automatically,automatically
backgroundnya,background
baling-baling,baling-baling
banget-banget,banget
bangun-bangun,bangun-bangun
banyak-banyak,banyak-banyak
barang-barang,barang-barang
bareng-bareng,bareng-bareng
bayang-bayang,bayang-bayang
begini-begini,begini
begitu-begitu,begitu
beliau-beliau,beliau
bentak-bentak,bentak-bentak
bentar-bentar,bentar
berekspektasi,berekspektasi
berita-berita,berita
berjam-berjam,berjam
berkomunikasi,komunikasi
berkontribusi,kontribusi
berpengalaman,berpengalaman
bersih-bersih,bersih
bersin-bersin,bersin
berubah-rubah,berubah
bilang-bilang,bilang
bolong-bolong,bolong
brenti-brenti,berhenti
brtahun-tahun,bertahun-tahun
brubah-brubah,berubah-ubah
bundir-bundir,bunuh diri
campak-campak,campak
campur-campur,campur
cantik-cantik,cantik
cepret-cepret,cepret
cerdas-cerdas,cerdas
cerita-cerita,cerita
cinta-cintaan,cinta
circle-circle,circle
communication,komunikasi
contemplating,contemplating
cuitan-cuitan,cuitan
curhat-curhat,curhat
curiga-curiga,curiga
daftar-daftar,daftar
dengar-dengar,dengar
denger-denger,dengar
details-logic,detail logic
di-distracted,distracted
diatur-diatur,diatur
dicakar-cakar,cakar
dicari-dicari,dicari
diingat-ingat,ingat
diinget-inget,diingat
diinjak-injak,diinjak
dikuat-kuatin,kuat
diliat-diliat,dilihat
dimana-dimana,pengalaman
dimasa-dimasa,di masa-masa
diperbolehkan,diperbolehkan
dipertahankan,dipertahankan
dipertanyakan,dipertanyakan
dipertaruhkan,dipertaruhkan
dipikir-pikir,dipikir-pikir
disaat-disaat,disaat-saat
disela-disela,disela-sela
diselingkuhin,diselingkuhin
disisi-disisi,di sisi
dokter-dokter,dokter
dzolim-dzolim,dzolim
ekspektasikan,ekspektasi
enggak-enggak,enggak
entertainment,entertainment
fakakskjeoejk,<noise>
faktor-faktor,faktor
fitnah-fitnah,fitnah
fobsos-fobsos,fobia sosial
gangguanpanik,gangguan panik
gejala-gejala,gejala
gimana-gimana,gimana
goyang-goyang,goyang
habis-habisan,habis-habisan
half-suicidal,half-suicidal
halusinasinya,halusinasinya
hambur-hambur,hambur-hambur
heartbreaking,heartbreaking
hilang-hilang,hilang-hilang
hutang-hutang,hutang-hutang
hyperfixation,hyperfixation
inconvenience,inconvenience
instal-instal,install
jambak-jambak,jambak
jangan-jangan,jangan-jangan
janourling-ku,janourlingku
jarang-jarang,jarang-jarang
kadang-kadang,kadang-kadang
kalian-kalian,kalian
ke-anxiety-an,kecemasan
ke-cultureran,kebudayaan
kebagi-kebagi,terbagi-bagi
kebahagiaanku,kebahagiaan
keberuntungan,keberuntungan
keburu-keburu,keburu
kecenderungan,kecenderungan
kecil-kecilan,kecil
kehati-hatian,kehati-hatian
kejang-kejang,kejang
kekurangannya,kekurangan
kelanjutannya,kelanjutan
keluar-keluar,keluar
kemana-dimana,kemana
kemana-kemana,kemana
kenang-kenang,kenang
kenapa-kenapa,kenapa
kenpa2soalnya,kenapa-napa soalnya
kesana-kemari,ke sana kemari
kesimpulannya,depresi
ketawa-ketawa,ketawa
ketemu-ketemu,ketemu
keterlambatan,keterlambatan
komen-komenan,komen
koment-koment,koment
kompre-kompre,kompre
komunikasinya,komunikasi
konser-konser,konser
konten-konten,konten
kucing-kucing,kucing
kumpul-kumpul,kumpul
kunong-kunong,kunong
lama-kelamaan,lama-lama
lancar-lancar,lancar
langit-langit,langit
langsat-putih,langsat putih
lempar-lempar,lempar
lingkungannya,kuliahan
loncat-loncat,loncat
luxury-luxury,luxury
males-malesan,males
mampus-mampus,mampus
masing-masing,masing-masing
megang-megang,megang
melalangbuana,melalangbuana
meledak-ledak,meledak
memaki-memaki,memaki
membahagiakan,membahagiakan
membandingkan,membandingkan
memperhatikan,memperhatikan
memperlakukan,memperlakukan
mempermainkan,mempermainkan
mempersiapkan,persiapkan
mengembalikan,mengembalikan
mengembangkan,mengembangkan
mengendalikan,mengendalikan
mengetahuinya,mengetahuinya
menggambarkan,menggambarkan
menghadapinya,menghadapi
menghancurkan,menghancurkan
menghilangakn,menghilangkan
menghilangkan,menghilangkan
mengikhlaskan,mengikhlaskan
mengira-ngira,mengira-ira
mengolok-olok,mengolok-olok
mengontrolnya,mengontrolnya
mengungkapkan,mengungkapkan
mentah-mentah,mentah-mentah
menunda-nunda,menunda-nunda
menyelamatkan,menyelamatkan
menyelesaikan,menyelesaikan
menyingkirkan,menyingkirkan
mereka-mereka,mereka
merobek-robek,merobek
meronta-ronta,meronta
meta-analisis,meta analisis
minggu-minggu,minggu-minggu
mnjadi-mnjadi,menjadi-jadi
model-modelan,model-modelan
moment-moment,moment
mondar-mandir,mondar-mandir
mudah-mudahan,mudah-mudahan
mudeng-mudeng,mengerti
muncul-muncul,muncul
muntah-muntah,muntah
munyuk-munyuk,munyuk
nabrak-nabrak,nabrak
naik-turunnya,naik turunnya
nambah-nambah,nambah
nangis-nangis,menangis
nerenge-renge,menangis
ngacak-ngacak,mengacak-ngacak
ngafal-ngafal,meghafal
ngajak-ngajak,mengajak
ngamok-ngamok,marah-marah
ngamuk-ngamuk,marah-marah
ngapa-ngapain,melakukan apapun
ngata-ngatain,menghina
ngatur-ngatur,mengatur-ngatur
nge-searching,mencari
ngefangirling,fangirling
ngejar-ngejar,mengejar-ngejar
ngelewatinnya,melewatkannya
ngemis-ngemis,mengemis
ngerih-ngerih,seram
ngetes-ngetes,mengtes
ngiung-ngiung,ngiung
ngobrak-abrik,ngobrak-abrik
ngomel-ngomel,ngomel
ngopi-feeling,ngopi feeling 
ngurus-ngurus,ngurus
nongki-nongki,nongki
normal-normal,normal
numpuk-numpuk,numpuk
nunggu-nunggu,nunggu
nyama-nyamain,nyamain
nyerah-nyerah,nyerah
nyuruh-nyuruh,nyuruh
olokan-olokan,olokan
opportunities,opportunities
overthingking,overthinking
paling-paling,paling
panas-panasan,panas
pasang-pasang,pasang
pegang-pegang,pegang
pembahasannya,pembahasannya
pencerahannya,pencerahan
pendek-pendek,nafasku pendek
pengalamannya,pengalaman
pengkhianatan,pengkhianatan
pengobatannya,pengobatan
penjelasannya,penjelasan
per-ekonomian,per ekonomian
per-kucing-an,tentang kucing
perfectionist,perfectionist
pertanyaannya,pertanyaan
pindah-pindah,pindah
pinter-pinter,pinter
pre-diagnosed,pre-diagnosed
privilege-nya,privilege
prokrastinasi,prokrastinasi
proyek-proyek,proyek
pulang-pulang,pulang
questionnaire,questionnaire
relationships,realationships
resiko-resiko,resiko
rollercoaster,rollercoaster
romanticizing,romanticizing
sakit-sakitan,sakit
sampai-sampai,sampai
sangat-sangat,sangat
santai-santai,santai
sayang-sayang,sayang
schizophrenia,skizofrenia
scroll-scroll,scroll
se-depressive,depresi
seakan-seakan,seakan-seakan
search-search,search
sebenar-benar,sebenar-benar
sehari-sehari,sehari-hari
sekali-sekali,sekali-kali
selang-seling,selang-seling
selese-selese,selesai
selesy-selesy,selesai
self-blamming,self-blaming
self-diagnose,self diagnose
sembuh-sembuh,sembuh
semena-semena,semena-mena
senang-senang,senang-senang
seneng-seneng,senang-senang
sentuh-sentuh,sentuh
senyum-senyum,senyum-senyum
seolah-seolah,seolah-olah
sepengetahuan,sepengetahuan
sepupu-sepupu,sepupu
seranganpanik,serangan panik
sering-sering,sering
settle-settle,settle
single-single,single
sirkel-sirkel,sirkel
situationship,situationship
snm-sbm-simak,snm sbm simak
sodara-sodara,saudara-saudara
suamiistrinya,suami istri
summer-summer,summer
sumpah-sumpah,sumpah
syukur-syukur,syukur-syukur
tambah-tambah,tambah-tambah
tarsok-tarsok,besok-besok
tayang-tayang,tayang
telfon-telfon,telpon
telpon-telpon,telpon
tembus-tembus,tembus
temen-temenku,temenku
tempat-tempat,tempat
tenang-tenang,tenang
tengah-tengah,tengah
terapi-terapi,terapi
teriak-teriak,teriak
terima-terima,terima
terintimidasi,intimidasi
terus-menerus,terus menerus
terus-terusan,terusan
thedreamshowa,<noise>
thread-thread,thread
tinggi-tinggi,tinggi
traumaanxiety,trauma anxiety
tulis-menulis,tulis
tunggu-tunggu,tunggu
ueueueueueueu,<noise>
uncomfortable,uncomfortable
underestimate,underestimate
ungkit-ungkit,ungkit
unintentional,unintentional
update-update,update
uring-uringan,uring-uringan
well-mannered,beradab
-hijrahhidup,hijrah hidup
082ei686ii94,<noise>
accidentally,kecelakaan
administrasi,administrasi
affectionate,affectionate
agxjxhcndgsj,<noise>
ahshshhahaha,<noise>
ajshjaahhshs,<noise>
alhamdulilah,alhamdulilah
alhmdulillah,alhamdulillah
anak-anaknya,anak
announcement,pengumuman
anticipatory,anticipatory
antidepresan,antidepresan
anxietypanic,anxiety panic
bathroomgtsx,toilet
beehari-hari,stres
ber-afirmasi,berafirmasi
berabad-abad,berabad-abad
beraktifitas,beraktivitas
beraktivitas,beraktivitas
beranakpinak,beranak pinak
berdampingan,berdampingan
berhari-hari,berhari-hari
berhati-hati,hati-hati
berinteraksi,berinteraksi
berkali-kali,berkali-kali
berkata-kata,berkata
berkebutuhan,berkebutuhan
berkecukupan,cukupan
berkeinginan,berkeinginan
berprasangka,berprasangka
bersyukurlah,syukur
bersyukurnya,bersyukur
bertele-tele,bertele-tele
bertubi-tubi,bertubi
berulangkali,terluka
beruntungnya,beruntung
bisa-bisanya,bisa
bos-karyawan,bos karyawan
campaign-nya,kampanye
cape-capenya,lelahnya
characternya,karakternya
ciri-cirinya,ciri-cirinya
co-workernya,co-worker
conversation,conversation
deg-degannya,deg-degan
depressednya,depressed
diantisipasi,antisipasi
dibandingkan,dibanding
dikelilingin,dikelilingi
dikendalikan,dikendalikan
dikonfirmasi,dikonfirmasi
dilingkungan,di lingkungan
diperantauan,di perantauan
diperhatikan,diperhatikan
diperjuangin,diperjuangkan
diperlakukan,diperlakukan
dipermainkan,dipermainkan
dipertahanin,dipertahankan
dipertemukan,dipertemukan
disappointed,kecewa
diselingkuhi,diselingkuhi
disemangatin,disemangati
disembunyiin,disembunyikan
diskriminasi,diskriminasi
disorganized,disorganized
ditinggalkan,ditinggalkan
expectations,ekspektasi
fangirlingan,fangirling
gerd-anxiety,gerd anxiety
hahahahahaha,anxiety
hari-harinya,hari-harinya
heartwarming,heartwarming
hemodialisis,hemodialisis
highlightnya,highlight
hilangkanlah,hilang
individualis,individualis
insecurities,insecurity
jadi-jadinya,jadi
kata-katanya,kata
ke-influence,influence
ke-trigerred,triggered
ke-triggered,triggered
kebalikannya,kebalikan
kebenarannya,kebenaran
kecanduannya,kecanduan
kecemasannya,kecemasan
kehidupannya,kehidupan
keinginannya,keinginan
kekhawatiran,kekhawatiran
kelihatannya,kelihatannya
kemampuannya,kemampuannya
kemenanganmu,kemenangan
kenyataannya,kenyataannya
kepikirannya,kepikiran
keputusannya,keputusan
keputusasaan,keputusasaan
kerja-kuliah,kerja kuliah
kerongkongan,kerongkongan
kesalahannya,kesalahan
kesampingkan,kesampingkan
ketakutannya,ketakutan
keterbatasan,keterbatasan
keterpurukan,keterpurukan
ketertarikan,ketertarikan
lika-likunya,lika-likunya
lingkunganmu,lingkunganmy
livingwithod,living with
medisnya-kah,medisnya kah
melakukannya,melakukannya
melampiaskan,melampiaskan
memanfaatkan,memanfaatkan
membagongkan,membagongkan
membanggakan,membanggakan
membayangkan,membayangkan
memberanikan,memberanikan
membicarakan,membicarakan
mementingkan,mementingkan
mempedulikan,mempedulikan
mempengaruhi,mempengaruhi
memperbanyak,memperbanyak
memungkinkan,memungkinkan
menanganinya,menangani
menasehatiku,menasehati
menceritakan,menceritakan
mencintainya,mencintainya
mendayu-dayu,mendayu-dayu
mendengarkan,mendengarkan
mendewasakan,mendewasakan
menertawakan,menertawakan
mengalaminya,mengalaminya
mengandalkan,mengandalkan
mengatasinya,mengatasinya
mengecewakan,mengecewakan
mengeluarkan,mengeluarkan
menghabiskan,menghabiskan
menghalalkan,menghalalkan
mengharapkan,mengharapkan
mengharuskan,mengharuskan
menghasilkan,menghasilkan
menghentikan,menghentikan
menghidupkan,menghidupkan
mengilangkan,menghilangkan
mengingatkan,mengingatkan
menginginkan,menginginkan
mengkonsumsi,mengonsumsi
mengundurkan,mengundurkan
mengutamakan,mengutamakan
mengutarakan,mengutarakan
meninggalkan,meninggalkan
meninggalnya,meninggalnya
meningkatkan,meningkatkan
menjadi-jadi,menjadi-jadi
mentalhealth,mental health
menyampaikan,menyampaikan
menyayangiku,menyayangiku
menyemangati,menyemangati
menyembuhkan,menyembuhkan
menyenangkan,menyenangkan
menyesuaikan,menyesuaikan
merasakannya,merasakannya
merencanakan,merencanakan
minggu-malam,minggu malam
miura-sensei,miura-sensei
mnghilangkan,menghilangkan
motivational,motivational
multitasking,multitasking
narcissistic,narcissistic
naudzubillah,naudzubillah
nendoroiddol,nendoroid doll
neurotypical,neurotypical
nge-distract,men-distract
nge-play-nya,memainkannya
ngebandingin,membandingkan
ngelampiasin,pelampiasan
ngeliatinnya,melihatnya
ngetik-ngeik,mengetik
ngilanginnya,menghilangkan
notification,notifikasi
nyembuhinnya,menyembuhkan
occasionally,occasionally
orang2karena,orang-orang karena
overthinking,overthinking
overwhelming,overwhelming
pait-paitnya,pahit-pahitnya
pekerjaannya,pekerjaannya
pembelajaran,pembelajaran
pemikirannya,pemikiran
pencerahanya,pencerahan
penderitanya,penderitanya
pengangguran,pengangguran
penghianatan,pengkhianatan
penjelasanya,penjelasan
penyelesaian,penyelesaian
perbaikannya,perbaikan
perfeksionis,perfeksionis
perhatiannya,perhatian
perkataannya,perkataan
perkembangan,perkembangan
perlindungan,perlindungan
permasalahan,permasalahan
persahabatan,persahabatan
perselisihan,perselisihan
pertengkaran,pertengkaran
pertimbangan,pertimbangan
pertimbangin,pertimbangan
pncerahannya,penjelasannya
presentation,presentation
problematika,problematika
productivity,produktif
professional,professional
psikiaternya,psikiaternya
psikologinya,psikologinya
psikosomatik,psikosomatik
psikosomatis,psikosomatis
psychiatrist,psikiater
psychologist,psychologist
rasa-rasanya,rasa-rasanya
re-exploring,re-exploring
relationship,relationship
romantic-dan,romantic dan
rute-rutenya,rute-rutenya
s-sebenarnya,sebenarnya
saddepressed,sedih depresi
satu-satunya,satu-satunya
seaakan-akan,seakan-akan
sekencengnya,sekencangnya
self-blaming,self-blaming
self-control,self-control
self-healing,self-healing
selfreminder,self-reminder
semangatkali,semangat banget
senin-selasa,senin selasa
seperjuangan,seperjuangan
sesungguhnya,sesungguhnya
silahturahmi,silahturahmi
skizoafektif,skizoafektif
snowdropepi6,<noise>
spikosomatik,spikosomatik
spikosomatis,spikosomatis
statusatahun,status
surprisingly,suprisingly
tanggapannya,tanggapannya
tempramental,temperamental
tenangkanlah,tenangkanlah
ter-asingkan,terasingkan
terbengkalai,terbengkalai
terdiagnosis,terdiagnosis
